vertex,cluster,btw_centrality,clos_centrality,pagerank_centrality
natural language processing systems,1,7.276753801753801,0.006896551724137931,0.012911606974599341
natural languages,1,19.77753460636962,0.0072992700729927005,0.01101117295393622
language processing,1,9.356806100639119,0.007194244604316547,0.010470630131180672
automation,1,8.975471719542927,0.006711409395973154,0.00794800303818971
natural language processing,1,22.12237404736406,0.006944444444444444,0.009330900774140987
semantics,1,22.093586791501735,0.007042253521126761,0.007956779220482844
computational linguistics,1,35.63418168486456,0.007142857142857143,0.007155354218900949
learning algorithms,1,31.173473021609443,0.007042253521126761,0.008617884989100436
machine-learning,1,25.6497171057307,0.006944444444444444,0.006362187660202619
machine learning,1,35.77950606157127,0.007042253521126761,0.005691959643714039
engineering education,2,0,0.001557632398753894,0.09417494890348806
students,2,0,0.00423728813559322,0.06722659281171388
teaching,2,0,0.003401360544217687,0.06158501292939698
education computing,2,0,0.002967359050445104,0.059632967782574334
artificial intelligence,2,0,0.004098360655737705,0.05415156965987851
language model,2,0,0.002352941176470588,0.04957007961588896
curricula,2,0,0.002457002457002457,0.04247610807838289
learning systems,2,0,0.0028089887640449437,0.04054535422374443
large language model,2,0,0.004366812227074236,0.036481643251651236
generative ai,2,1.421861471861472,0.006172839506172839,0.019452656357641613
e-learning,2,0,0.005714285714285714,0.023162034512260714
high educations,2,1.2788220551378449,0.00625,0.020964273783816063
computer aided instruction,2,0.36363636363636365,0.005952380952380952,0.02410306365366337
educational technology,2,0,0.005747126436781609,0.020480354949749563
chatgpt,2,3.092857142857143,0.006134969325153374,0.014065150373587246
generative artificial intelligence,2,1.5939463762044406,0.006535947712418301,0.015938016806134242
personnel training,2,4.943337218337219,0.006666666666666667,0.01343154485477412
feedback,2,13.425471633795812,0.007042253521126761,0.012572702969192375
grading,2,5.900683526999316,0.006896551724137931,0.012560241770952265
academic integrity,2,14.624150796254064,0.007194244604316547,0.011220202247561142
personalized learning,2,7.102690773279007,0.006666666666666667,0.0113908067209513
teachers',2,7.067161172161173,0.006578947368421052,0.01010994363000738
chatbots,2,6.262326595260031,0.007042253521126761,0.008727356712316788
engineering research,2,4.819330581371254,0.006711409395973154,0.010196704751907669
artificial intelligence tools,2,9.690559440559442,0.006896551724137931,0.009982008481584877
ethical technology,2,10.360442057942056,0.006802721088435374,0.010087245077117338
prompt engineering,2,28.955361979412366,0.007518796992481203,0.008801462627245786
performance,2,16.03987335677738,0.006756756756756757,0.007231127142701128
problem solving,2,80.7790791357429,0.007352941176470588,0.008172826387450389
computer science education,2,40.10657631524336,0.007246376811594203,0.00791609945680322
human engineering,2,20.40710438684123,0.006896551724137931,0.008417447218868005
behavioral research,2,23.925221792983944,0.007246376811594203,0.00847473101357232
assessment,2,54.790208530636605,0.0078125,0.00691941014618952
codes (symbols),2,31.880657045385895,0.007462686567164179,0.006974649223716415
ethical aspects,2,11.386376108125333,0.007042253521126761,0.00749093479511587
artificial intelligence in education,2,16.817597871684562,0.007042253521126761,0.007809507261218494
decision making,2,30.82731460310315,0.007462686567164179,0.007695499030589553
case-studies,2,5.550775978407558,0.006756756756756757,0.006919714265653839
critical thinking,2,55.21627123249415,0.007633587786259542,0.006647328451620756
information use,2,25.954136343532625,0.007142857142857143,0.005793723507750631
risk assessment,2,42.969377975825346,0.007575757575757576,0.005789238351631692
human computer interaction,2,30.744250460341547,0.007692307692307693,0.006502228375126588
data privacy,2,31.903491362032263,0.007633587786259542,0.0064399655366069244
generative adversarial networks,2,70.95559324146785,0.007352941176470588,0.004996043369620688
knowledge management,2,38.23848577040269,0.007352941176470588,0.005829491339257908
benchmarking,2,65.61289846746334,0.007407407407407408,0.004999111801445823
professional aspects,2,107.39982771079512,0.008064516129032258,0.00507897204060987
employment,2,102.16025421717374,0.007874015748031496,0.005092921842287402
software design,2,134.6536346957709,0.008064516129032258,0.004649958321921092
economic and social effects,2,358.9406631277593,0.008333333333333333,0.0036125439786108323
